[1] [72/167] time: 0:07:48.529207, [d_loss: 0.322466, g_loss: 1.643514]
[1] [73/167] time: 0:07:50.123816, [d_loss: 0.355700, g_loss: 1.450955]
[1] [74/167] time: 0:07:51.735315, [d_loss: 0.317172, g_loss: 1.526232]
[1] [75/167] time: 0:07:53.299987, [d_loss: 0.347558, g_loss: 1.506160]
[1] [76/167] time: 0:07:54.883734, [d_loss: 0.340485, g_loss: 1.679376]
[1] [77/167] time: 0:07:56.455006, [d_loss: 0.304918, g_loss: 1.847632]
[1] [78/167] time: 0:07:58.043460, [d_loss: 0.363453, g_loss: 1.604473]
[1] [79/167] time: 0:07:59.613831, [d_loss: 0.364686, g_loss: 1.643122]
[1] [80/167] time: 0:08:01.193573, [d_loss: 0.286188, g_loss: 1.885861]
[1] [81/167] time: 0:08:02.773271, [d_loss: 0.381332, g_loss: 1.730950]
[1] [82/167] time: 0:08:04.339606, [d_loss: 0.343395, g_loss: 1.649136]
[1] [83/167] time: 0:08:05.909139, [d_loss: 0.376091, g_loss: 1.567234]
[1] [84/167] time: 0:08:07.485480, [d_loss: 0.343638, g_loss: 1.492585]
[1] [85/167] time: 0:08:09.060376, [d_loss: 0.407550, g_loss: 1.637056]
[1] [86/167] time: 0:08:10.642944, [d_loss: 0.359614, g_loss: 1.474908]
[1] [87/167] time: 0:08:12.209426, [d_loss: 0.281160, g_loss: 2.060666]
[1] [88/167] time: 0:08:13.777191, [d_loss: 0.385999, g_loss: 1.681551]
[1] [89/167] time: 0:08:15.379533, [d_loss: 0.358293, g_loss: 1.685046]
[1] [90/167] time: 0:08:16.951976, [d_loss: 0.339712, g_loss: 1.751928]
[1] [91/167] time: 0:08:18.514194, [d_loss: 0.385782, g_loss: 1.533159]
[1] [92/167] time: 0:08:20.081896, [d_loss: 0.360313, g_loss: 1.517984]
[1] [93/167] time: 0:08:21.678507, [d_loss: 0.356857, g_loss: 1.562090]
[1] [94/167] time: 0:08:23.262352, [d_loss: 0.366956, g_loss: 1.616169]
[1] [95/167] time: 0:08:24.831372, [d_loss: 0.325311, g_loss: 1.507298]
[1] [96/167] time: 0:08:26.405770, [d_loss: 0.470664, g_loss: 1.956702]
[1] [97/167] time: 0:08:27.998369, [d_loss: 0.375861, g_loss: 1.694555]
[1] [98/167] time: 0:08:29.564229, [d_loss: 0.317558, g_loss: 1.903204]
[1] [99/167] time: 0:08:31.120000, [d_loss: 0.637384, g_loss: 1.544815]
[1] [100/167] time: 0:08:32.692347, [d_loss: 0.411567, g_loss: 1.478874]
[1] [101/167] time: 0:08:34.271217, [d_loss: 0.341432, g_loss: 1.345441]
[1] [102/167] time: 0:08:35.855310, [d_loss: 0.312554, g_loss: 1.643802]
[1] [103/167] time: 0:08:37.449754, [d_loss: 0.327639, g_loss: 1.526154]
[1] [104/167] time: 0:08:39.010200, [d_loss: 0.341920, g_loss: 1.780009]
[1] [105/167] time: 0:08:40.584010, [d_loss: 0.350529, g_loss: 1.554870]
[1] [106/167] time: 0:08:42.149445, [d_loss: 0.345599, g_loss: 1.642385]
[1] [107/167] time: 0:08:43.729193, [d_loss: 0.331101, g_loss: 1.720442]
[1] [108/167] time: 0:08:45.294023, [d_loss: 0.390491, g_loss: 1.314420]
[1] [109/167] time: 0:08:46.863833, [d_loss: 0.321277, g_loss: 1.575915]
[1] [110/167] time: 0:08:48.423920, [d_loss: 0.338855, g_loss: 1.544058]
[1] [111/167] time: 0:08:49.997088, [d_loss: 0.342767, g_loss: 1.557166]
[1] [112/167] time: 0:08:51.584497, [d_loss: 0.326909, g_loss: 1.483289]
[1] [113/167] time: 0:08:53.157562, [d_loss: 0.352028, g_loss: 1.503483]
[1] [114/167] time: 0:08:54.722326, [d_loss: 0.346357, g_loss: 1.709855]
[1] [115/167] time: 0:08:56.311907, [d_loss: 0.358328, g_loss: 1.961421]
[1] [116/167] time: 0:08:57.894602, [d_loss: 0.345209, g_loss: 1.780332]
[1] [117/167] time: 0:08:59.474468, [d_loss: 0.344918, g_loss: 1.718748]
[1] [118/167] time: 0:09:01.037874, [d_loss: 0.371820, g_loss: 1.530132]
[1] [119/167] time: 0:09:02.616307, [d_loss: 0.373035, g_loss: 1.560910]
[1] [120/167] time: 0:09:04.179236, [d_loss: 0.322469, g_loss: 1.764524]
[1] [121/167] time: 0:09:05.754871, [d_loss: 0.383160, g_loss: 1.726055]
[1] [122/167] time: 0:09:07.348503, [d_loss: 0.429053, g_loss: 1.437498]
[1] [123/167] time: 0:09:08.925938, [d_loss: 0.377655, g_loss: 2.009310]
[1] [124/167] time: 0:09:10.513145, [d_loss: 0.435370, g_loss: 1.836198]
[1] [125/167] time: 0:09:12.081359, [d_loss: 0.387201, g_loss: 1.528284]
[1] [126/167] time: 0:09:13.677138, [d_loss: 0.346844, g_loss: 1.424250]
[1] [127/167] time: 0:09:15.256303, [d_loss: 0.331045, g_loss: 1.352485]
[1] [128/167] time: 0:09:16.831149, [d_loss: 0.327736, g_loss: 1.317686]
[1] [129/167] time: 0:09:18.420051, [d_loss: 0.320521, g_loss: 1.646301]
[1] [130/167] time: 0:09:20.009442, [d_loss: 0.331307, g_loss: 1.397716]
[1] [131/167] time: 0:09:21.585714, [d_loss: 0.408110, g_loss: 1.620609]
[1] [132/167] time: 0:09:23.163273, [d_loss: 0.317940, g_loss: 1.519442]
[1] [133/167] time: 0:09:24.752324, [d_loss: 0.313613, g_loss: 1.682402]
[1] [134/167] time: 0:09:26.308865, [d_loss: 0.329411, g_loss: 1.571539]
[1] [135/167] time: 0:09:27.881000, [d_loss: 0.320780, g_loss: 1.518257]
[1] [136/167] time: 0:09:29.471870, [d_loss: 0.316418, g_loss: 1.579290]
[1] [137/167] time: 0:09:31.029168, [d_loss: 0.298686, g_loss: 1.740868]
[1] [138/167] time: 0:09:32.624407, [d_loss: 0.353441, g_loss: 1.401505]
[1] [139/167] time: 0:09:34.211413, [d_loss: 0.331247, g_loss: 1.487315]
[1] [140/167] time: 0:09:35.791067, [d_loss: 0.323814, g_loss: 1.627997]
[1] [141/167] time: 0:09:37.361808, [d_loss: 0.320261, g_loss: 1.399447]
[1] [142/167] time: 0:09:38.958627, [d_loss: 0.381516, g_loss: 1.305060]
[1] [143/167] time: 0:09:40.527604, [d_loss: 0.299186, g_loss: 1.702125]
[1] [144/167] time: 0:09:42.092587, [d_loss: 0.368724, g_loss: 1.459360]
[1] [145/167] time: 0:09:43.656919, [d_loss: 0.320128, g_loss: 1.633857]
[1] [146/167] time: 0:09:45.215483, [d_loss: 0.341233, g_loss: 1.784575]
[1] [147/167] time: 0:09:46.776774, [d_loss: 0.333182, g_loss: 1.460354]
[1] [148/167] time: 0:09:48.363600, [d_loss: 0.463710, g_loss: 1.791303]
[1] [149/167] time: 0:09:49.959288, [d_loss: 0.317175, g_loss: 1.584727]
[1] [150/167] time: 0:09:51.560348, [d_loss: 0.317174, g_loss: 1.444735]
[1] [151/167] time: 0:09:53.121138, [d_loss: 0.355007, g_loss: 1.310790]
